lam,LB,n1,fold,window,min_n1,failed
0.3,252,0.3,4,1,0.2339723503478602,False
0.3,252,0.3,4,2,0.20487415001706763,False
0.3,252,0.3,4,3,0.16627943486285554,False
0.3,252,0.3,4,4,0.1626846214306762,False
0.3,252,0.3,4,5,0.16731085466098689,False
0.3,252,0.3,4,6,0.10791166348589125,False
0.3,252,0.3,4,7,0.08592538731094657,False
0.3,252,0.3,4,8,0.11986651070265598,False
0.3,252,0.3,4,9,0.09756580860408756,False
0.3,252,0.3,4,10,0.10330316746202121,False
0.3,252,0.3,4,11,0.12333871056687898,False
0.3,252,0.3,4,12,0.0899206387033266,False
0.3,252,0.3,5,0,0.11633862911192495,False
0.3,252,0.3,5,1,0.13240136027995753,False
0.3,252,0.3,5,2,0.12315430478428603,False
0.3,252,0.3,5,3,0.13255353466892028,False
0.3,252,0.3,5,4,0.18672958024941225,False
0.3,252,0.3,5,5,0.10832881149907746,False
0.3,252,0.3,5,6,0.1406348271112704,False
0.3,252,0.3,5,7,0.1055319667180291,False
0.3,252,0.3,5,8,0.09492413511752366,False
0.3,252,0.3,5,9,0.15110665127219225,False
0.3,252,0.3,5,10,0.12472530523317621,False
0.3,252,0.3,5,11,0.1812304566852039,False
0.3,252,0.3,6,0,0.19912925986620805,False
0.3,252,0.3,6,1,0.17427932130977303,False
0.3,252,0.3,6,2,0.15676573231043522,False
0.3,252,0.3,6,3,0.2218849361121964,False
0.3,252,0.3,6,4,0.15313749701974352,False
0.3,252,0.3,6,5,0.13450577033260902,False
0.3,252,0.3,6,6,0.16855579753220448,False
0.3,252,0.3,6,7,0.3491154279919124,True
0.3,252,0.3,6,8,0.11012857285057058,False
0.3,252,0.3,6,9,0.1638411817351855,False
0.3,252,0.3,6,10,0.1735425709162555,False
0.3,252,0.3,6,11,0.13663588769955842,False
0.3,252,0.3,7,0,0.10896463392506327,False
0.3,252,0.3,7,1,0.12945936489766924,False
0.3,252,0.3,7,2,0.20834688868974688,False
0.3,252,0.3,7,3,0.09845367713841029,False
0.3,252,0.3,7,4,0.10929283646369609,False
0.3,252,0.3,7,5,0.14678656242527835,False
0.3,252,0.3,7,6,0.06531920920598618,False
0.3,252,0.3,7,7,0.1466374218257652,False
0.3,252,0.3,7,8,0.1196822956119604,False
