λ,LB,n1,tc_bps,label,Ann.Ret,Sharpe,CVaR(5%),MDD,MDD_abs,Calmar,HHI,Turnover
0.3,504,0.2,10,"DFL-MDD (LB=504, n1=0.2)",0.06899943366521089,0.4478037403515953,0.026975257355652833,0.32139036865550935,0.3462980270262359,0.21469042128546387,0.4071894100666989,0.855311973091994
0.3,504,0.2,20,"DFL-MDD (LB=504, n1=0.2)",0.058182670323751795,0.39390059969673435,0.027015357758311632,0.32195541692126206,0.3468925799750281,0.18071654411675697,0.4071894100666989,0.855311973091994
0.3,504,0.2,40,"DFL-MDD (LB=504, n1=0.2)",0.03684397745186763,0.28588555222506,0.02709555856361854,0.32308551345272324,0.34808168587261257,0.11403785037194242,0.4071894100666989,0.855311973091994
0.3,504,0.3,0,"DFL-MDD (LB=504, n1=0.3)",0.013643107118751496,0.16553785405853674,0.02697779692818712,0.3604743510780896,0.3877867435083266,0.03784765011481003,0.5233854190340463,0.839840009827552
0.3,504,0.3,5,"DFL-MDD (LB=504, n1=0.3)",0.008600639985979042,0.13795586549131178,0.026982547806762857,0.36890465714066956,0.400720981957581,0.02331399134483703,0.5233854190340463,0.839840009827552
0.3,504,0.3,10,"DFL-MDD (LB=504, n1=0.3)",0.003580083785843513,0.11034942203464568,0.02699427241507133,0.3772289538854423,0.4136552204068348,0.009490479847900732,0.5233854190340463,0.839840009827552
0.3,504,0.3,20,"DFL-MDD (LB=504, n1=0.3)",-0.006395624174666992,0.055094283772476854,0.02702210999065004,0.39356458361285135,0.4395236973053416,-0.016250507386440297,0.5233854190340463,0.839840009827552
0.3,504,0.3,40,"DFL-MDD (LB=504, n1=0.3)",-0.026087706219757867,-0.05536673146165418,0.027119184528022314,0.4250186363407644,0.4912606511023567,-0.06138014661715606,0.5233854190340463,0.839840009827552
0.3,504,0.4,0,"DFL-MDD (LB=504, n1=0.4)",0.07879978661143494,0.5220377466665584,0.026232704630977745,0.30282363421756386,0.3248136932056349,0.2602167654087379,0.5593250544779478,0.9944864643545279
0.3,504,0.4,5,"DFL-MDD (LB=504, n1=0.4)",0.07244780387954664,0.4882203516648762,0.026259431251905434,0.3032813577328458,0.3252692595491544,0.23887984542550222,0.5593250544779478,0.9944864643545279
