lam,LB,n1,tc_bps,label,Ann.Ret,Sharpe,CVaR(5%),MDD,MDD_abs,Calmar,HHI,Turnover
0.3,504,0.4,0,"DFL-MDD (LB=504, n1=0.4)",0.09491836409957544,0.5763106103572501,0.027701974333993584,0.35366709228866483,0.3838598216473963,0.26838336430595655,0.6224289188108716,0.7082920166875754
0.3,504,0.4,5,"DFL-MDD (LB=504, n1=0.4)",0.09032313348980048,0.5539502033088767,0.027720863385682165,0.3540476125705968,0.3843718831549794,0.255115781768698,0.6224289188108716,0.7082920166875754
0.3,504,0.4,10,"DFL-MDD (LB=504, n1=0.4)",0.08574466701732275,0.5315564239759952,0.027743437613818943,0.35442799048657897,0.38488394466256204,0.24192408414305872,0.6224289188108716,0.7082920166875754
0.3,504,0.4,20,"DFL-MDD (LB=504, n1=0.4)",0.07663781657691549,0.48668589319547123,0.027813616018551077,0.35518831932127576,0.38590806767772823,0.2157667141244535,0.6224289188108716,0.7082920166875754
0.3,504,0.4,40,"DFL-MDD (LB=504, n1=0.4)",0.05862298413272993,0.39673350673873237,0.02799729203089865,0.3567072697056668,0.38795631370805994,0.16434479780764652,0.6224289188108716,0.7082920166875754
0.3,1260,0.1,0,"DFL-MDD (LB=1260, n1=0.1)",0.09623938981231461,0.6204635977162832,0.0248771490601665,0.3287390636783202,0.3560367678339206,0.29275312981122337,0.36648645999089796,0.6765448583894987
0.3,1260,0.1,5,"DFL-MDD (LB=1260, n1=0.1)",0.09184473093320933,0.5971904632853043,0.024894053654223435,0.3288850183849917,0.3561604968825557,0.27926091421339877,0.36648645999089796,0.6765448583894987
0.3,1260,0.1,10,"DFL-MDD (LB=1260, n1=0.1)",0.08746590243370211,0.5738771582101116,0.024910958248279876,0.3290309730916595,0.3562842259311909,0.2658287807535782,0.36648645999089796,0.6765448583894987
0.3,1260,0.1,20,"DFL-MDD (LB=1260, n1=0.1)",0.0787555334039991,0.527144934784042,0.02494476743639117,0.32932288250498354,0.35653168402846136,0.23914382377875892,0.36648645999089796,0.6765448583894987
0.3,1260,0.1,40,"DFL-MDD (LB=1260, n1=0.1)",0.06152253307925726,0.43336329473156904,0.025012385812607094,0.3299067013315838,0.35702660022300203,0.1864846419072085,0.36648645999089796,0.6765448583894987
0.3,1260,0.2,0,"DFL-MDD (LB=1260, n1=0.2)",0.07460950999288496,0.5020254868295867,0.024934804718199585,0.34743704744452075,0.37363354199969945,0.21474252823693035,0.4542155618132567,0.6471325499885258
0.3,1260,0.2,5,"DFL-MDD (LB=1260, n1=0.2)",0.07048850043712185,0.4798361786339472,0.02494260380408932,0.34764579723490513,0.3738434744948036,0.20275953564661287,0.4542155618132567,0.6471325499885258
0.3,1260,0.2,10,"DFL-MDD (LB=1260, n1=0.2)",0.06638164411444736,0.4576268737498758,0.024950402889978632,0.34785454702528673,0.37405340698990774,0.1908316124168378,0.4542155618132567,0.6471325499885258
0.3,1260,0.2,20,"DFL-MDD (LB=1260, n1=0.2)",0.05821021878063948,0.4131614978296744,0.024966775925266384,0.348272046606042,0.37447327198011615,0.16714008296442937,0.4542155618132567,0.6471325499885258
0.3,1260,0.2,40,"DFL-MDD (LB=1260, n1=0.2)",0.0420353170842207,0.324136378809133,0.025031537306941038,0.3491070457675197,0.37531300196053297,0.12040810284926876,0.4542155618132567,0.6471325499885258
