label,HHI,EffN,MaxWeight,AvgMaxWeight,AvgNActive
"DFL-MDD (LB=252, n1=0.2) λ=0.7",0.43479552895919554,2.2999316538368717,0.9911965131759644,0.5442299554322628,3.9361702127659575
"DFL-MDD (LB=252, n1=0.3) λ=0.7",0.48518417335129266,2.061073000573661,1.0,0.5885991688738478,3.25531914893617
"DFL-MDD (LB=252, n1=0.4) λ=0.7",0.5823920721686265,1.7170563402011054,1.0,0.677806094922918,2.702127659574468
"DFL-MDD (LB=504, n1=0.1) λ=0.7",0.3497631610999689,2.859077545088235,0.9167786240577698,0.4499947561862621,4.595744680851064
"DFL-MDD (LB=504, n1=0.2) λ=0.7",0.45255192616132184,2.209691180595105,0.9992046356201172,0.5660056922029941,4.170212765957447
"DFL-MDD (LB=504, n1=0.3) λ=0.7",0.5764852369205637,1.7346497983916178,1.0,0.6704627326194276,3.106382978723404
"DFL-MDD (LB=504, n1=0.4) λ=0.7",0.5941647179780439,1.683034972865812,1.0,0.702134556909825,3.0638297872340425
"DFL-MDD (LB=252, n1=0.1) λ=1.0",0.377547496116214,2.6486733729845398,0.995780348777771,0.48196103281163155,4.73404255319149
"DFL-MDD (LB=252, n1=0.2) λ=1.0",0.3865945900841202,2.586689068210725,0.9999984502792358,0.504800002942694,4.404255319148936
"DFL-MDD (LB=252, n1=0.3) λ=1.0",0.4347616196763835,2.3001110372722273,1.0,0.5654254457417954,4.946808510638298
"DFL-MDD (LB=252, n1=0.4) λ=1.0",0.46128830245988467,2.1678416614237985,1.0,0.570764144842929,3.851063829787234
"DFL-MDD (LB=504, n1=0.1) λ=1.0",0.3524564938373817,2.8372296084332764,0.9994363188743591,0.4664940448834541,5.308510638297872
"DFL-MDD (LB=504, n1=0.2) λ=1.0",0.3920239434927754,2.550864600489457,0.9684274792671204,0.5054655441261352,4.638297872340425
"DFL-MDD (LB=504, n1=0.3) λ=1.0",0.4336319261911229,2.3061032631606806,1.0,0.5467074670373125,4.117021276595745
"DFL-MDD (LB=504, n1=0.4) λ=1.0",0.49179344914972134,2.0333739738277004,1.0,0.604472335665784,4.138297872340425
"PTO-MDD (LB=252, n1=0.1)",0.7131426291518909,1.4022440380394257,0.9999999999995509,0.7769797122669836,1.6914893617021276
"PTO-MDD (LB=252, n1=0.2)",0.8026476663300557,1.245876667868852,0.9999999999994919,0.8389768974863477,1.5319148936170213
"PTO-MDD (LB=252, n1=0.3)",0.7263397357731498,1.3767662028507273,0.9999999999943563,0.7711706529344071,1.8297872340425532
"PTO-MDD (LB=252, n1=0.4)",0.7347378310972477,1.3610296866116358,0.9999999999978283,0.7891793088115757,1.7872340425531914
"PTO-MDD (LB=504, n1=0.1)",0.7401787858950357,1.3510249402659986,0.9999999999996653,0.7656880677516782,1.5638297872340425
"PTO-MDD (LB=504, n1=0.2)",0.8188460470939936,1.22123078391708,0.9999999999996666,0.874979678187415,1.797872340425532
"PTO-MDD (LB=504, n1=0.3)",0.8230821805076077,1.2149455105239726,0.9999999999975387,0.8718923582212869,1.8404255319148937
"PTO-MDD (LB=504, n1=0.4)",0.729261329250751,1.3712505516059765,0.9999999999971078,0.7960049772710075,1.9787234042553192
PTO-MVO (LB=252),0.18589116531793495,5.379491802580674,0.36805004015017356,0.26812522129636146,7.457446808510638
PTO-MVO (LB=504),0.18506993558849497,5.403362771052728,0.3036865982905405,0.25953604738663644,7.361702127659575
EW,0.10000000298023229,9.99999970197678,0.10000000149011612,0.10000000149011612,10.0
GMV (LB=252),0.17923853947055254,5.579157266924126,0.3622680902481079,0.2583129182457924,7.808510638297872
hist-MVO (LB=252),0.22606065533220135,4.423591529142818,0.48858708143234253,0.3186904735704686,6.595744680851064
GMV (LB=504),0.1837623128336415,5.4418122224293715,0.2967376112937927,0.25757508899303194,7.648936170212766
hist-MVO (LB=504),0.1978982182105899,5.053102595071714,0.4077288508415222,0.28134947381121045,6.882978723404255
