H,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
126,10,Benchmark,GMV (LB=252),7.02,0.4867,2.5,35.44,38.37,0.198,0.1123,0.1352
126,10,Benchmark,hist-MVO (LB=252),12.29,0.6992,2.88,35.33,38.38,0.3477,0.1718,0.4051
126,10,Benchmark,GMV (LB=504),6.31,0.4418,2.53,36.34,39.42,0.1736,0.1137,0.0841
126,10,Benchmark,hist-MVO (LB=504),8.27,0.5208,2.78,34.72,37.71,0.2382,0.1423,0.2351
126,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",3.99,0.3114,2.59,30.52,32.85,0.1308,0.2791,0.6595
126,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",8.75,0.5583,2.68,27.51,29.52,0.318,0.3903,0.8399
126,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",2.53,0.226,2.79,32.94,35.94,0.0769,0.5003,0.7064
126,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",3.39,0.2664,2.89,34.77,37.51,0.0975,0.6592,0.8006
126,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.14,0.4064,2.82,39.17,42.37,0.1567,0.2413,0.8098
126,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",4.09,0.3084,2.75,33.23,36.79,0.123,0.3893,0.8418
126,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",9.53,0.5809,2.69,32.7,35.58,0.2914,0.5063,0.8838
126,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",9.03,0.532,2.78,34.07,36.69,0.2651,0.5146,0.9301
126,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.05,0.498,3.43,52.69,67.38,0.1718,0.8616,0.0418
126,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",9.29,0.5097,3.39,51.06,63.74,0.182,0.8801,0.0395
126,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.56,0.4764,3.47,43.91,50.09,0.1949,0.8809,0.0545
126,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",7.38,0.4324,3.37,47.56,55.8,0.1551,0.8878,0.0383
126,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",2.37,0.2188,3.82,69.93,109.03,0.0339,0.85,0.0548
126,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-3.62,-0.0059,4.26,81.84,152.96,-0.0442,0.9011,0.0479
126,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",-0.1,0.1186,3.89,74.87,125.34,-0.0013,0.818,0.0558
126,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-0.25,0.1198,3.97,75.44,127.12,-0.0033,0.8404,0.0559
126,20,PTO-MVO,PTO-MVO (LB=252),6.18,0.4337,2.54,37.79,41.0,0.1635,0.1223,0.1354
126,20,PTO-MVO,PTO-MVO (LB=504),5.72,0.4049,2.56,38.9,42.51,0.1472,0.1188,0.0852
126,20,DFL-MVO,DFL-MVO (LB=252),4.59,0.3071,3.35,40.95,44.25,0.112,1.0,0.6882
126,20,DFL-MVO,DFL-MVO (LB=504),7.56,0.4489,2.92,40.95,44.25,0.1847,1.0,0.4301
126,20,Benchmark,EW,9.94,0.5477,3.14,42.39,47.68,0.2345,0.0333,0.0367
126,20,Benchmark,GMV (LB=252),6.84,0.4772,2.5,35.46,38.39,0.193,0.1123,0.1352
126,20,Benchmark,hist-MVO (LB=252),11.75,0.6742,2.88,35.37,38.42,0.3321,0.1718,0.4051
126,20,Benchmark,GMV (LB=504),6.2,0.4361,2.53,36.35,39.43,0.1706,0.1137,0.0841
126,20,Benchmark,hist-MVO (LB=504),7.97,0.5058,2.78,34.73,37.73,0.2294,0.1423,0.2351
126,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",2.37,0.2216,2.6,30.62,32.95,0.0775,0.2791,0.6595
126,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",6.6,0.446,2.69,27.6,29.62,0.239,0.3903,0.8399
126,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",0.82,0.14,2.8,34.82,36.02,0.0236,0.5003,0.7064
126,40,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",1.43,0.1712,2.9,34.85,37.6,0.0412,0.6592,0.8006
126,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",4.11,0.306,2.84,39.26,42.46,0.1047,0.2413,0.8098
126,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",2.02,0.2004,2.76,36.22,38.71,0.0558,0.3893,0.8418
126,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",7.24,0.4675,2.71,33.15,36.14,0.2185,0.5063,0.8838
126,40,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",6.64,0.4206,2.79,34.14,36.75,0.1945,0.5146,0.9301
126,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",8.94,0.4936,3.43,52.91,67.87,0.169,0.8616,0.0418
126,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",9.19,0.5055,3.39,51.29,64.24,0.1791,0.8801,0.0395
126,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.42,0.4706,3.47,44.17,50.57,0.1905,0.8809,0.0545
126,40,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",7.28,0.4283,3.37,47.75,56.17,0.1525,0.8878,0.0383
126,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",2.24,0.2136,3.82,70.03,109.4,0.0319,0.85,0.0548
126,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",-3.73,-0.0102,4.26,81.89,153.21,-0.0455,0.9011,0.0479
126,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",-0.23,0.1131,3.89,74.97,125.74,-0.0031,0.818,0.0558
126,40,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",-0.38,0.1147,3.97,75.52,127.42,-0.0051,0.8404,0.0559
126,40,PTO-MVO,PTO-MVO (LB=252),5.84,0.4151,2.54,37.86,41.09,0.1542,0.1223,0.1354
126,40,PTO-MVO,PTO-MVO (LB=504),5.51,0.3934,2.56,38.93,42.56,0.1415,0.1188,0.0852
126,40,DFL-MVO,DFL-MVO (LB=252),2.88,0.2378,3.37,40.95,44.25,0.0704,1.0,0.6882
126,40,DFL-MVO,DFL-MVO (LB=504),6.46,0.4003,2.93,40.95,44.25,0.1578,1.0,0.4301
126,40,Benchmark,EW,9.84,0.5437,3.14,42.41,47.7,0.2321,0.0333,0.0367
126,40,Benchmark,GMV (LB=252),6.5,0.4582,2.5,35.49,38.41,0.1832,0.1123,0.1352
126,40,Benchmark,hist-MVO (LB=252),10.67,0.6241,2.89,35.43,38.48,0.3012,0.1718,0.4051
126,40,Benchmark,GMV (LB=504),5.99,0.4245,2.53,36.37,39.44,0.1647,0.1137,0.0841
126,40,Benchmark,hist-MVO (LB=504),7.37,0.4757,2.79,34.77,37.76,0.2118,0.1423,0.2351
