lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
0.3,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.89,0.2529,4.66,77.47,116.35,0.0373,0.8231,0.0952
0.3,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.89,0.221,4.51,77.47,116.35,0.0243,0.7292,0.0882
0.3,10,PTO-MVO,PTO-MVO (LB=252),7.46,0.5002,2.57,35.97,39.13,0.2074,0.1859,0.0803
0.3,10,PTO-MVO,PTO-MVO (LB=504),5.78,0.4031,2.63,37.24,40.52,0.1551,0.185,0.0544
0.3,10,DFL-MVO,DFL-MVO (LB=252),12.32,0.6492,3.1,36.45,44.44,0.3381,1.0,0.7312
0.3,10,DFL-MVO,DFL-MVO (LB=504),11.55,0.6829,2.71,27.07,29.11,0.4266,1.0,0.3871
0.3,10,Benchmark,EW,11.85,0.6522,3.02,38.73,42.74,0.306,0.1,0.0327
0.3,10,Benchmark,GMV (LB=252),7.81,0.5214,2.56,34.82,37.84,0.2244,0.1792,0.0797
0.3,10,Benchmark,hist-MVO (LB=252),11.14,0.6638,2.77,33.64,36.72,0.3311,0.2261,0.2701
0.3,10,Benchmark,GMV (LB=504),6.34,0.4353,2.61,36.15,39.31,0.1755,0.1838,0.0531
0.3,10,Benchmark,hist-MVO (LB=504),7.54,0.4839,2.76,33.62,36.46,0.2241,0.1979,0.1495
0.3,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.72,0.5798,2.46,32.11,34.51,0.2718,0.4065,0.4664
0.3,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.08,0.473,2.56,34.92,37.65,0.2028,0.5873,0.5516
0.3,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",5.55,0.3864,2.62,36.58,39.37,0.1518,0.6215,0.5571
0.3,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",4.3,0.3268,2.59,33.43,36.04,0.1285,0.8149,0.3241
0.3,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",6.22,0.4254,2.58,37.78,40.74,0.1647,0.3895,0.5365
0.3,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",5.18,0.3757,2.47,34.67,37.27,0.1493,0.5269,0.5609
0.3,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",4.1,0.3235,2.45,33.62,36.66,0.1219,0.5886,0.4684
0.3,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",7.66,0.4867,2.78,35.52,38.59,0.2158,0.6224,0.7083
