tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",10.89,0.5701,3.17,50.16,57.54,0.2171,0.2758,0.3,0.0739
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.2,0.5416,3.16,50.32,57.84,0.2027,0.274,0.3,0.0733
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.27,0.5458,3.17,50.16,57.54,0.2048,0.2738,0.3,0.072
10,PTO-MVO,PTO-MVO (LB=252),7.44,0.4985,2.57,36.03,39.19,0.2064,0.1828,0.3,0.0781
10,PTO-MVO,PTO-MVO (LB=504),5.66,0.397,2.63,37.4,40.7,0.1514,0.1857,0.3,0.0544
10,Benchmark,EW,11.85,0.6522,3.02,38.73,42.74,0.306,0.1,0.1,0.0327
10,Benchmark,GMV (LB=252),7.83,0.5225,2.56,34.81,37.83,0.2251,0.1772,0.3,0.0781
10,Benchmark,hist-MVO (LB=252),11.58,0.6858,2.76,33.67,36.77,0.3439,0.2023,0.3,0.2447
10,Benchmark,GMV (LB=504),6.35,0.4354,2.61,36.14,39.3,0.1756,0.1837,0.2961,0.0531
10,Benchmark,hist-MVO (LB=504),7.72,0.4958,2.74,32.88,35.68,0.2347,0.1947,0.3,0.1435
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.57,0.5609,2.54,33.68,36.61,0.2544,0.2605,0.3,0.3041
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.99,0.5205,2.59,34.16,36.93,0.234,0.2675,0.3,0.2979
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.09,0.5269,2.62,30.72,33.11,0.2633,0.2736,0.3,0.2892
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",6.78,0.4477,2.68,37.56,40.69,0.1806,0.2788,0.3,0.2442
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",8.41,0.5402,2.62,34.75,38.27,0.242,0.2515,0.3,0.3566
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",8.96,0.575,2.52,33.76,36.59,0.2655,0.2677,0.3,0.3583
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",12.76,0.7677,2.53,35.32,38.16,0.3612,0.2742,0.3,0.3527
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",9.98,0.6351,2.57,30.2,32.74,0.3305,0.2768,0.3,0.2784
20,DFL-MVO,DFL-MVO (LB=252),8.71,0.5497,2.66,31.49,33.99,0.2766,0.28,0.3,0.2985
20,DFL-MVO,DFL-MVO (LB=504),10.55,0.6205,2.76,35.04,37.99,0.301,0.28,0.3,0.2746
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",7.17,0.4264,3.14,49.98,58.19,0.1434,0.2788,0.3,0.0618
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",8.79,0.4965,3.1,49.98,58.19,0.1759,0.2787,0.3,0.0574
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.5,0.483,3.12,49.98,58.19,0.1701,0.2766,0.3,0.0631
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",8.71,0.4939,3.1,49.98,58.19,0.1743,0.2774,0.3,0.0609
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.77,0.5645,3.18,50.39,57.98,0.2137,0.2736,0.3,0.0677
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",10.79,0.5662,3.17,50.17,57.55,0.2151,0.2758,0.3,0.0739
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.1,0.5377,3.16,50.33,57.87,0.2007,0.274,0.3,0.0733
