x_max,lam,group,label,Ann.Ret(%),Sharpe,MDD(%),MDD_abs(%),Calmar,HHI,MaxW,nActive,Turnover
0.3,0.3,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.67,0.4899,49.95,58.12,0.1735,0.2766,0.3,4.07,0.0631
0.3,0.3,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",8.87,0.5005,49.95,58.12,0.1775,0.2774,0.3,4.01,0.0609
0.3,0.3,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.95,0.5716,50.36,57.92,0.2174,0.2736,0.3,4.01,0.0677
0.3,0.3,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",10.99,0.574,50.15,57.53,0.219,0.2758,0.3,4.12,0.0739
0.3,0.3,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.29,0.5454,50.3,57.82,0.2046,0.274,0.3,4.1,0.0733
0.3,0.3,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.37,0.5496,50.15,57.53,0.2067,0.2738,0.3,4.2,0.072
0.3,0.3,PTO-MVO,PTO-MVO (LB=252),7.54,0.5038,36.02,39.18,0.2092,0.1828,0.3,7.82,0.0781
0.3,0.3,PTO-MVO,PTO-MVO (LB=504),5.73,0.4005,37.39,40.7,0.1533,0.1857,0.3,7.57,0.0544
0.3,0.3,Benchmark,EW,11.9,0.6541,38.73,42.74,0.3072,0.1,0.1,10.0,0.0327
0.3,0.3,Benchmark,GMV (LB=252),7.93,0.5278,34.8,37.82,0.228,0.1772,0.3,8.16,0.0781
0.3,0.3,Benchmark,hist-MVO (LB=252),11.9,0.7015,33.65,36.75,0.3538,0.2023,0.3,7.09,0.2447
0.3,0.3,Benchmark,GMV (LB=504),6.41,0.4389,36.14,39.3,0.1774,0.1837,0.2961,7.91,0.0531
0.3,0.3,Benchmark,hist-MVO (LB=504),7.9,0.505,32.87,35.67,0.2404,0.1947,0.3,7.31,0.1435
0.3,0.5,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.36,0.6024,33.61,36.55,0.2784,0.2605,0.3,4.79,0.3041
0.3,0.5,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",8.76,0.5602,34.14,36.91,0.2566,0.2675,0.3,4.43,0.2979
0.3,0.5,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.83,0.5655,30.72,33.11,0.2875,0.2736,0.3,4.19,0.2892
0.3,0.5,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",7.4,0.4791,37.49,40.62,0.1975,0.2788,0.3,4.04,0.2442
0.3,0.5,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.33,0.5873,34.41,37.83,0.2711,0.2515,0.3,5.02,0.3566
0.3,0.5,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",9.89,0.6233,33.76,36.59,0.2931,0.2677,0.3,4.3,0.3583
0.3,0.5,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",13.71,0.8152,35.26,38.09,0.3888,0.2742,0.3,4.29,0.3527
0.3,0.5,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",10.71,0.6733,30.2,32.74,0.3547,0.2768,0.3,4.18,0.2784
0.3,0.5,DFL-MVO,DFL-MVO (LB=252),9.49,0.5888,31.49,33.99,0.3012,0.28,0.3,4.0,0.2985
0.3,0.5,DFL-MVO,DFL-MVO (LB=504),11.27,0.6551,35.01,37.97,0.3219,0.28,0.3,4.0,0.2746
0.3,0.5,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",7.32,0.4331,49.95,58.12,0.1466,0.2788,0.3,4.26,0.0618
0.3,0.5,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",8.94,0.5028,49.95,58.13,0.179,0.2787,0.3,4.04,0.0574
0.3,0.5,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.67,0.4899,49.95,58.12,0.1735,0.2766,0.3,4.07,0.0631
0.3,0.5,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",8.87,0.5005,49.95,58.12,0.1775,0.2774,0.3,4.01,0.0609
0.3,0.5,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.95,0.5716,50.36,57.92,0.2174,0.2736,0.3,4.01,0.0677
0.3,0.5,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",10.99,0.574,50.15,57.53,0.219,0.2758,0.3,4.12,0.0739
0.3,0.5,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.29,0.5454,50.3,57.82,0.2046,0.274,0.3,4.1,0.0733
0.3,0.5,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.37,0.5496,50.15,57.53,0.2067,0.2738,0.3,4.2,0.072
0.3,0.5,PTO-MVO,PTO-MVO (LB=252),7.54,0.5038,36.02,39.18,0.2092,0.1828,0.3,7.82,0.0781
0.3,0.5,PTO-MVO,PTO-MVO (LB=504),5.73,0.4005,37.39,40.7,0.1533,0.1857,0.3,7.57,0.0544
0.3,0.5,Benchmark,EW,11.9,0.6541,38.73,42.74,0.3072,0.1,0.1,10.0,0.0327
0.3,0.5,Benchmark,GMV (LB=252),7.93,0.5278,34.8,37.82,0.228,0.1772,0.3,8.16,0.0781
0.3,0.5,Benchmark,hist-MVO (LB=252),11.9,0.7015,33.65,36.75,0.3538,0.2023,0.3,7.09,0.2447
0.3,0.5,Benchmark,GMV (LB=504),6.41,0.4389,36.14,39.3,0.1774,0.1837,0.2961,7.91,0.0531
0.3,0.5,Benchmark,hist-MVO (LB=504),7.9,0.505,32.87,35.67,0.2404,0.1947,0.3,7.31,0.1435
0.3,0.7,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",9.75,0.6177,32.88,35.4,0.2966,0.2481,0.3,5.32,0.3531
0.3,0.7,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",9.31,0.5934,31.71,34.19,0.2936,0.2577,0.3,4.73,0.4052
0.3,0.7,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.61,0.5347,32.59,35.32,0.2641,0.2753,0.3,4.16,0.364
0.3,0.7,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",10.12,0.6297,33.11,35.63,0.3057,0.2776,0.3,4.14,0.3445
0.3,0.7,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.84,0.6247,34.04,37.12,0.2891,0.2332,0.3,5.73,0.4149
0.3,0.7,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",12.78,0.7542,33.87,36.55,0.3774,0.2648,0.3,4.52,0.3508
0.3,0.7,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",10.57,0.665,30.03,32.48,0.3521,0.2735,0.3,4.27,0.3568
0.3,0.7,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",8.44,0.5393,31.88,34.37,0.2649,0.2701,0.3,4.38,0.448
0.3,0.7,DFL-MVO,DFL-MVO (LB=252),7.53,0.463,36.77,40.02,0.2047,0.2799,0.3,4.0,0.3687
0.3,0.7,DFL-MVO,DFL-MVO (LB=504),10.34,0.6055,37.89,41.47,0.2729,0.28,0.3,4.0,0.3111
0.3,0.7,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",7.32,0.4331,49.95,58.12,0.1466,0.2788,0.3,4.26,0.0618
0.3,0.7,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",8.94,0.5028,49.95,58.13,0.179,0.2787,0.3,4.04,0.0574
0.3,0.7,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.67,0.4899,49.95,58.12,0.1735,0.2766,0.3,4.07,0.0631
0.3,0.7,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",8.87,0.5005,49.95,58.12,0.1775,0.2774,0.3,4.01,0.0609
0.3,0.7,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.95,0.5716,50.36,57.92,0.2174,0.2736,0.3,4.01,0.0677
0.3,0.7,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",10.99,0.574,50.15,57.53,0.219,0.2758,0.3,4.12,0.0739
0.3,0.7,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.29,0.5454,50.3,57.82,0.2046,0.274,0.3,4.1,0.0733
0.3,0.7,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.37,0.5496,50.15,57.53,0.2067,0.2738,0.3,4.2,0.072
0.3,0.7,PTO-MVO,PTO-MVO (LB=252),7.54,0.5038,36.02,39.18,0.2092,0.1828,0.3,7.82,0.0781
0.3,0.7,PTO-MVO,PTO-MVO (LB=504),5.73,0.4005,37.39,40.7,0.1533,0.1857,0.3,7.57,0.0544
0.3,0.7,Benchmark,EW,11.9,0.6541,38.73,42.74,0.3072,0.1,0.1,10.0,0.0327
0.3,0.7,Benchmark,GMV (LB=252),7.93,0.5278,34.8,37.82,0.228,0.1772,0.3,8.16,0.0781
0.3,0.7,Benchmark,hist-MVO (LB=252),11.9,0.7015,33.65,36.75,0.3538,0.2023,0.3,7.09,0.2447
0.3,0.7,Benchmark,GMV (LB=504),6.41,0.4389,36.14,39.3,0.1774,0.1837,0.2961,7.91,0.0531
0.3,0.7,Benchmark,hist-MVO (LB=504),7.9,0.505,32.87,35.67,0.2404,0.1947,0.3,7.31,0.1435
0.3,1.0,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",8.81,0.5682,29.19,31.44,0.3019,0.2417,0.3,5.39,0.4556
0.3,1.0,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",7.55,0.4619,37.91,41.38,0.1992,0.2462,0.3,5.3,0.3536
0.3,1.0,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",8.28,0.4981,33.94,36.85,0.244,0.2679,0.3,4.31,0.4319
