x_max,LB,lam,comparison,n,DFL-MDD,other,difference,Cohen d,t,p (one-sided),significant(0.10),significant(0.05),significant(0.01),Wilcoxon p
0.6,252,0.5,DFL-MVO,91,3.79,4.03000020980835,-0.24,0.213,-2.03,0.0227,+,+,=,0.0352
0.6,252,0.5,PTO-MDD,91,3.79,5.19,-1.39,0.514,-4.9,0.0,+,+,+,0.0
0.6,252,0.5,PTO-MVO,91,3.79,3.63,0.17,0.256,2.44,0.9917,-,-,-,0.9981
0.6,252,0.5,GMV,91,3.79,3.61,0.18,0.274,2.61,0.9947,-,-,-,0.9985
0.6,252,0.5,hist-MVO,91,3.79,3.84,-0.05,0.041,-0.39,0.3496,=,=,=,0.664
0.6,252,0.5,EW,91,3.79,4.25,-0.46,0.395,-3.77,0.0001,+,+,+,0.0002
0.6,252,0.7,DFL-MVO,91,3.84,4.440000057220459,-0.6,0.377,-3.59,0.0003,+,+,+,0.0002
0.6,252,0.7,PTO-MDD,91,3.84,5.19,-1.35,0.506,-4.83,0.0,+,+,+,0.0
0.6,252,0.7,PTO-MVO,91,3.84,3.63,0.21,0.284,2.71,0.9959,-,-,-,0.9987
0.6,252,0.7,GMV,91,3.84,3.61,0.22,0.297,2.83,0.9971,-,-,-,0.9982
0.6,252,0.7,hist-MVO,91,3.84,3.84,-0.0,0.003,-0.03,0.487,=,=,=,0.7406
0.6,252,0.7,EW,91,3.84,4.25,-0.41,0.347,-3.31,0.0007,+,+,+,0.0004
0.6,252,1.0,DFL-MVO,91,4.2,5.449999809265137,-1.25,0.415,-3.96,0.0001,+,+,+,0.0
0.6,252,1.0,PTO-MDD,91,4.2,5.19,-0.98,0.37,-3.53,0.0003,+,+,+,0.0001
0.6,252,1.0,PTO-MVO,91,4.2,3.63,0.57,0.633,6.04,1.0,-,-,-,1.0
0.6,252,1.0,GMV,91,4.2,3.61,0.59,0.638,6.09,1.0,-,-,-,1.0
0.6,252,1.0,hist-MVO,91,4.2,3.84,0.36,0.248,2.36,0.9899,-,-,=,0.9985
0.6,252,1.0,EW,91,4.2,4.25,-0.05,0.054,-0.51,0.3054,=,=,=,0.5535
0.6,504,0.3,DFL-MVO,91,3.72,3.869999885559082,-0.14,0.123,-1.17,0.1221,=,=,=,0.1632
0.6,504,0.3,PTO-MDD,91,3.72,5.37,-1.65,0.582,-5.55,0.0,+,+,+,0.0
0.6,504,0.3,PTO-MVO,91,3.72,3.76,-0.03,0.042,-0.4,0.3446,=,=,=,0.5363
0.6,504,0.3,GMV,91,3.72,3.73,-0.01,0.01,-0.09,0.4634,=,=,=,0.6122
0.6,504,0.3,hist-MVO,91,3.72,3.94,-0.22,0.174,-1.66,0.0498,+,+,=,0.0854
0.6,504,0.3,EW,91,3.72,4.25,-0.53,0.411,-3.92,0.0001,+,+,+,0.0001
0.6,504,0.5,DFL-MVO,91,3.67,3.6700000762939453,-0.01,0.006,-0.06,0.4766,=,=,=,0.6167
0.6,504,0.5,PTO-MDD,91,3.67,5.37,-1.71,0.553,-5.28,0.0,+,+,+,0.0
0.6,504,0.5,PTO-MVO,91,3.67,3.76,-0.09,0.106,-1.01,0.1577,=,=,=,0.5892
0.6,504,0.5,GMV,91,3.67,3.73,-0.06,0.084,-0.8,0.2124,=,=,=,0.541
0.6,504,0.5,hist-MVO,91,3.67,3.94,-0.27,0.256,-2.44,0.0083,+,+,+,0.0255
0.6,504,0.5,EW,91,3.67,4.25,-0.58,0.462,-4.41,0.0,+,+,+,0.0
0.6,504,0.7,DFL-MVO,91,3.92,3.8399999141693115,0.08,0.049,0.47,0.6785,=,=,=,0.5722
0.6,504,0.7,PTO-MDD,91,3.92,5.37,-1.45,0.542,-5.17,0.0,+,+,+,0.0
0.6,504,0.7,PTO-MVO,91,3.92,3.76,0.16,0.236,2.25,0.9866,-,-,=,0.9953
0.6,504,0.7,GMV,91,3.92,3.73,0.19,0.272,2.59,0.9945,-,-,-,0.997
0.6,504,0.7,hist-MVO,91,3.92,3.94,-0.02,0.022,-0.21,0.4179,=,=,=,0.6436
0.6,504,0.7,EW,91,3.92,4.25,-0.33,0.339,-3.24,0.0008,+,+,+,0.0025
0.6,504,1.0,DFL-MVO,91,4.42,4.599999904632568,-0.18,0.114,-1.09,0.1399,=,=,=,0.2369
0.6,504,1.0,PTO-MDD,91,4.42,5.37,-0.96,0.323,-3.09,0.0014,+,+,+,0.0004
0.6,504,1.0,PTO-MVO,91,4.42,3.76,0.66,0.553,5.27,1.0,-,-,-,1.0
0.6,504,1.0,GMV,91,4.42,3.73,0.69,0.582,5.56,1.0,-,-,-,1.0
0.6,504,1.0,hist-MVO,91,4.42,3.94,0.48,0.428,4.09,1.0,-,-,-,1.0
0.6,504,1.0,EW,91,4.42,4.25,0.17,0.166,1.58,0.9416,-,=,=,0.9632
1.0,252,0.3,DFL-MVO,91,3.76,4.590000152587891,-0.84,0.301,-2.87,0.0025,+,+,+,0.0009
1.0,252,0.3,PTO-MDD,91,3.76,5.88,-2.13,0.532,-5.07,0.0,+,+,+,0.0
1.0,252,0.3,PTO-MVO,91,3.76,3.63,0.13,0.13,1.24,0.8905,=,=,=,0.7406
1.0,252,0.3,GMV,91,3.76,3.61,0.14,0.145,1.38,0.9148,-,=,=,0.851
1.0,252,0.3,hist-MVO,91,3.76,3.84,-0.09,0.06,-0.57,0.2851,=,=,=,0.3743
1.0,252,0.3,EW,91,3.76,4.25,-0.49,0.343,-3.27,0.0008,+,+,+,0.0002
1.0,252,0.5,DFL-MVO,91,3.92,4.510000228881836,-0.6,0.302,-2.88,0.0024,+,+,+,0.001
1.0,252,0.5,PTO-MDD,91,3.92,5.88,-1.97,0.476,-4.54,0.0,+,+,+,0.0
1.0,252,0.5,PTO-MVO,91,3.92,3.63,0.29,0.307,2.93,0.9979,-,-,-,0.9999
1.0,252,0.5,GMV,91,3.92,3.61,0.3,0.339,3.23,0.9991,-,-,-,0.9998
1.0,252,0.5,hist-MVO,91,3.92,3.84,0.07,0.05,0.48,0.6833,=,=,=,0.9102
1.0,252,0.5,EW,91,3.92,4.25,-0.33,0.259,-2.47,0.0076,+,+,+,0.0027
1.0,252,0.7,DFL-MVO,91,3.86,4.840000152587891,-0.98,0.415,-3.96,0.0001,+,+,+,0.0
1.0,252,0.7,PTO-MDD,91,3.86,5.88,-2.03,0.464,-4.42,0.0,+,+,+,0.0
1.0,252,0.7,PTO-MVO,91,3.86,3.63,0.23,0.183,1.74,0.9577,-,-,=,0.998
