tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,Turnover
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",9.03,0.5565,2.7,33.57,36.36,0.2689,0.3245,0.6115
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",9.81,0.6077,2.71,32.58,35.64,0.3012,0.3907,0.7293
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",7.44,0.485,2.7,32.75,35.35,0.2271,0.4489,0.6999
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",5.49,0.3687,2.99,35.96,38.69,0.1526,0.5408,0.7623
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",0.28,0.1646,4.25,77.47,116.35,0.0036,0.7131,0.0758
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",1.48,0.206,4.43,77.47,116.35,0.0191,0.8026,0.0707
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",-0.71,0.1337,4.23,77.47,116.35,-0.0092,0.7263,0.0848
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",-0.38,0.1472,4.38,77.47,116.35,-0.005,0.7347,0.0892
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",5.88,0.3373,4.58,77.47,116.35,0.0759,0.7402,0.0816
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",2.24,0.2339,4.67,77.47,116.35,0.0289,0.8188,0.0885
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",2.78,0.2495,4.66,77.47,116.35,0.0358,0.8231,0.0952
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",1.78,0.2179,4.51,77.47,116.35,0.023,0.7292,0.0882
20,PTO-MVO,PTO-MVO (LB=252),7.36,0.4947,2.57,35.98,39.14,0.2045,0.1859,0.0803
20,PTO-MVO,PTO-MVO (LB=504),5.71,0.3995,2.63,37.25,40.53,0.1532,0.185,0.0544
20,DFL-MVO,DFL-MVO (LB=252),5.93,0.3637,3.36,40.95,44.25,0.1449,1.0,0.4731
20,DFL-MVO,DFL-MVO (LB=504),8.68,0.4998,3.12,43.81,49.18,0.1982,1.0,0.2581
20,Benchmark,EW,11.81,0.6503,3.02,38.73,42.74,0.3049,0.1,0.0327
20,Benchmark,GMV (LB=252),7.71,0.5159,2.56,34.82,37.85,0.2214,0.1792,0.0797
20,Benchmark,hist-MVO (LB=252),10.78,0.6465,2.77,33.66,36.75,0.3203,0.2261,0.2701
20,Benchmark,GMV (LB=504),6.28,0.4318,2.61,36.15,39.31,0.1736,0.1838,0.0531
20,Benchmark,hist-MVO (LB=504),7.35,0.4744,2.76,33.64,36.47,0.2184,0.1979,0.1495
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",6.73,0.466,2.5,33.07,36.17,0.2035,0.3341,0.5206
40,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",3.32,0.2695,2.74,36.8,40.24,0.0902,0.4796,0.5022
