tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",10.89,0.5701,3.17,50.16,57.54,0.2171,0.2758,0.3,0.0739
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.2,0.5416,3.16,50.32,57.84,0.2027,0.274,0.3,0.0733
10,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.27,0.5458,3.17,50.16,57.54,0.2048,0.2738,0.3,0.072
10,PTO-MVO,PTO-MVO (LB=252),7.44,0.4985,2.57,36.03,39.19,0.2064,0.1828,0.3,0.0781
10,PTO-MVO,PTO-MVO (LB=504),5.66,0.397,2.63,37.4,40.7,0.1514,0.1857,0.3,0.0544
10,Benchmark,EW,11.85,0.6522,3.02,38.73,42.74,0.306,0.1,0.1,0.0327
10,Benchmark,GMV (LB=252),7.83,0.5225,2.56,34.81,37.83,0.2251,0.1772,0.3,0.0781
10,Benchmark,hist-MVO (LB=252),11.58,0.6858,2.76,33.67,36.77,0.3439,0.2023,0.3,0.2447
10,Benchmark,GMV (LB=504),6.35,0.4354,2.61,36.14,39.3,0.1756,0.1837,0.2961,0.0531
10,Benchmark,hist-MVO (LB=504),7.72,0.4958,2.74,32.88,35.68,0.2347,0.1947,0.3,0.1435
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",7.64,0.5066,2.57,29.2,31.44,0.2617,0.2417,0.3,0.4556
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",6.65,0.4202,3.02,38.02,41.54,0.1749,0.2462,0.3,0.3536
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",7.18,0.4467,2.95,34.19,37.2,0.2099,0.2679,0.3,0.4319
20,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",9.81,0.5628,3.0,33.88,36.86,0.2897,0.2772,0.3,0.4098
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",10.46,0.6108,2.82,38.21,41.71,0.2736,0.2248,0.3,0.5358
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",7.71,0.507,2.66,30.41,33.08,0.2536,0.2525,0.3,0.4949
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",7.16,0.4369,3.03,34.44,37.43,0.2078,0.2684,0.3,0.4593
20,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",13.44,0.7203,2.99,36.01,40.05,0.3731,0.2758,0.3,0.4259
20,DFL-MVO,DFL-MVO (LB=252),12.55,0.6573,3.16,39.97,44.0,0.3141,0.28,0.3,0.2815
20,DFL-MVO,DFL-MVO (LB=504),11.43,0.6435,2.86,31.51,34.51,0.3629,0.28,0.3,0.479
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",7.17,0.4264,3.14,49.98,58.19,0.1434,0.2788,0.3,0.0618
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",8.79,0.4965,3.1,49.98,58.19,0.1759,0.2787,0.3,0.0574
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",8.5,0.483,3.12,49.98,58.19,0.1701,0.2766,0.3,0.0631
20,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",8.71,0.4939,3.1,49.98,58.19,0.1743,0.2774,0.3,0.0609
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.77,0.5645,3.18,50.39,57.98,0.2137,0.2736,0.3,0.0677
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",10.79,0.5662,3.17,50.17,57.55,0.2151,0.2758,0.3,0.0739
20,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",10.1,0.5377,3.16,50.33,57.87,0.2007,0.274,0.3,0.0733
