x_max,lam,tc_bps,group,label,Ann.Ret(%),Sharpe,CVaR(5%)(%),MDD(%),MDD_abs(%),Calmar,HHI,MaxW,Turnover
0.2,1.0,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.9,0.5745,2.85,42.27,47.07,0.2343,0.2,0.2,0.0464
0.2,1.0,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",10.13,0.585,2.86,42.27,47.07,0.2397,0.2,0.2,0.0463
0.2,1.0,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",10.09,0.5829,2.85,42.27,47.07,0.2386,0.1987,0.2,0.0468
0.2,1.0,10,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",10.08,0.5834,2.85,42.27,47.07,0.2385,0.1981,0.2,0.0513
0.2,1.0,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.71,0.5968,2.99,42.65,47.46,0.2512,0.1952,0.2,0.055
0.2,1.0,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",9.65,0.5511,2.93,42.99,47.81,0.2245,0.1973,0.2,0.0638
0.2,1.0,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",9.97,0.5649,2.95,42.99,47.81,0.2319,0.1921,0.2,0.0648
0.2,1.0,10,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",10.06,0.5711,2.92,42.99,47.81,0.2339,0.1965,0.2,0.0636
0.2,1.0,10,PTO-MVO,PTO-MVO (LB=252),7.52,0.5001,2.61,35.64,38.78,0.2112,0.1522,0.2,0.0683
0.2,1.0,10,PTO-MVO,PTO-MVO (LB=504),6.07,0.4188,2.64,36.89,40.18,0.1644,0.1571,0.2,0.0471
0.2,1.0,10,Benchmark,EW,11.85,0.6522,3.02,38.73,42.74,0.306,0.1,0.1,0.0327
0.2,1.0,10,Benchmark,GMV (LB=252),7.95,0.5254,2.59,34.49,37.5,0.2304,0.1502,0.2,0.0674
0.2,1.0,10,Benchmark,hist-MVO (LB=252),11.63,0.6912,2.74,32.82,35.86,0.3544,0.1628,0.2,0.2067
0.2,1.0,10,Benchmark,GMV (LB=504),6.81,0.4604,2.62,35.6,38.77,0.1912,0.1553,0.2,0.0456
0.2,1.0,10,Benchmark,hist-MVO (LB=504),8.72,0.5472,2.74,32.06,34.82,0.2721,0.1607,0.2,0.1203
0.2,1.0,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.1)",12.62,0.7168,2.79,38.53,42.48,0.3275,0.1823,0.2,0.2949
0.2,1.0,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.2)",13.63,0.7621,2.86,36.73,40.03,0.3709,0.189,0.2,0.2072
0.2,1.0,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.3)",6.74,0.4075,3.32,42.13,46.88,0.16,0.1954,0.2,0.1897
0.2,1.0,20,DFL-MDD,"DFL-MDD (LB=252, n1=0.4)",10.52,0.6071,2.88,37.74,41.38,0.2787,0.1959,0.2,0.2728
0.2,1.0,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.1)",8.77,0.5299,2.83,42.62,48.1,0.2058,0.1805,0.2,0.286
0.2,1.0,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.2)",10.19,0.6117,2.74,37.7,41.35,0.2704,0.1825,0.2,0.269
0.2,1.0,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.3)",11.04,0.6378,2.77,30.86,33.42,0.3579,0.1918,0.2,0.2678
0.2,1.0,20,DFL-MDD,"DFL-MDD (LB=504, n1=0.4)",15.25,0.8052,2.95,33.05,36.29,0.4614,0.1965,0.2,0.3183
0.2,1.0,20,DFL-MVO,DFL-MVO (LB=252),8.38,0.4814,3.21,40.89,45.13,0.205,0.2,0.2,0.2561
0.2,1.0,20,DFL-MVO,DFL-MVO (LB=504),13.65,0.7497,2.91,36.08,40.12,0.3783,0.2,0.2,0.2477
0.2,1.0,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.1)",9.84,0.5718,2.85,42.28,47.08,0.2328,0.2,0.2,0.0464
0.2,1.0,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.2)",10.07,0.5823,2.86,42.28,47.08,0.2382,0.2,0.2,0.0463
0.2,1.0,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.3)",10.02,0.5801,2.85,42.28,47.08,0.2371,0.1987,0.2,0.0468
0.2,1.0,20,PTO-MDD,"PTO-MDD (LB=252, n1=0.4)",10.02,0.5803,2.85,42.28,47.08,0.2369,0.1981,0.2,0.0513
0.2,1.0,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.1)",10.64,0.5936,2.99,42.67,47.49,0.2494,0.1952,0.2,0.055
0.2,1.0,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.2)",9.57,0.5474,2.93,43.02,47.86,0.2224,0.1973,0.2,0.0638
0.2,1.0,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.3)",9.89,0.5612,2.95,43.02,47.86,0.2298,0.1921,0.2,0.0648
0.2,1.0,20,PTO-MDD,"PTO-MDD (LB=504, n1=0.4)",9.97,0.5674,2.92,43.02,47.86,0.2318,0.1965,0.2,0.0636
0.2,1.0,20,PTO-MVO,PTO-MVO (LB=252),7.44,0.4955,2.61,35.64,38.79,0.2087,0.1522,0.2,0.0683
0.2,1.0,20,PTO-MVO,PTO-MVO (LB=504),6.01,0.4157,2.64,36.9,40.19,0.1628,0.1571,0.2,0.0471
0.2,1.0,20,Benchmark,EW,11.81,0.6503,3.02,38.73,42.74,0.3049,0.1,0.1,0.0327
0.2,1.0,20,Benchmark,GMV (LB=252),7.86,0.5208,2.59,34.5,37.51,0.2278,0.1502,0.2,0.0674
0.2,1.0,20,Benchmark,hist-MVO (LB=252),11.36,0.6778,2.74,32.84,35.88,0.3459,0.1628,0.2,0.2067
0.2,1.0,20,Benchmark,GMV (LB=504),6.75,0.4573,2.62,35.6,38.77,0.1896,0.1553,0.2,0.0456
